# Time-averaged data for fix mype1
# TimeStep v_totPe
9060000 -459715
9070000 -459787
9080000 -459826
9090000 -459888
9100000 -459908
9110000 -459993
9120000 -460031
9130000 -460078
9140000 -460123
9150000 -460201
9160000 -460219
9170000 -460243
9180000 -460297
9190000 -460346
9200000 -460403
9210000 -460420
9220000 -460492
9230000 -460539
9240000 -460594
9250000 -460620
9260000 -460683
9270000 -460723
9280000 -460774
9290000 -460830
9300000 -460884
9310000 -460928
9320000 -460950
9330000 -461009
9340000 -461057
9350000 -461103
9360000 -461149
9370000 -461192
9380000 -461240
9390000 -461246
9400000 -461296
9410000 -461352
9420000 -461406
9430000 -461455
9440000 -461502
9450000 -461553
9460000 -461607
9470000 -461614
9480000 -461670
9490000 -461725
9500000 -461772
9510000 -461818
9520000 -461868
9530000 -461903
9540000 -461961
9550000 -462000
9560000 -462046
9570000 -462087
9580000 -462129
9590000 -462180
9600000 -462229
9610000 -462263
9620000 -462317
9630000 -462365
9640000 -462400
9650000 -462452
9660000 -462492
9670000 -462531
9680000 -462584
9690000 -462633
9700000 -462670
9710000 -462711
9720000 -462766
9730000 -462809
9740000 -462861
9750000 -462889
9760000 -462946
9770000 -462993
9780000 -463033
9790000 -463087
9800000 -463121
9810000 -463161
9820000 -463199
9830000 -463248
9840000 -463296
9850000 -463329
9860000 -463381
9870000 -463430
9880000 -463470
9890000 -463522
9900000 -463557
9910000 -463602
9920000 -463652
9930000 -463694
9940000 -463739
9950000 -463782
9960000 -463828
9970000 -463863
9980000 -463903
9990000 -463949
10000000 -463992
10010000 -464054
10020000 -464093
10030000 -464136
10040000 -464184
10050000 -464219
10060000 -464266
10070000 -464315
10080000 -464355
10090000 -464397
10100000 -464459
10110000 -464442
10120000 -464448
10130000 -464442
10140000 -464441
10150000 -464437
10160000 -464448
10170000 -464432
10180000 -464439
10190000 -464452
10200000 -464433
