# Time-averaged data for fix myat1
# TimeStep v_Toutput
5540000 3308.79
5550000 3289.09
5560000 3304
5570000 3301.12
5580000 3305.61
5590000 3292.07
5600000 3294.35
5610000 3301.15
5620000 3302.92
5630000 3304.16
5640000 3296.2
5650000 3293.08
5660000 3304.39
5670000 3291.36
5680000 3301.15
5690000 3298.47
5700000 3299.56
5710000 3300.77
5720000 3300.34
5730000 3302.25
5740000 3301.71
5750000 3308.79
5760000 3307.36
5770000 3286.38
5780000 3294.86
5790000 3308.54
5800000 3301.53
5810000 3305.07
5820000 3297.52
5830000 3307.36
5840000 3303.55
5850000 3295.03
5860000 3299.49
5870000 3307.19
5880000 3297.5
5890000 3306.63
5900000 3302.22
5910000 3302.65
5920000 3304.66
5930000 3309.42
5940000 3305.32
5950000 3303.3
5960000 3295.45
5970000 3297.68
5980000 3300.19
5990000 3305.33
6000000 3304.09
6010000 3294.53
6020000 3295.6
6030000 3296.88
6040000 3298.75
6050000 3305
6060000 3294.87
6070000 3306.46
6080000 3298.19
6090000 3289.36
6100000 3309.08
