# Time-averaged data for fix myat1
# TimeStep v_Toutput
5200000 1770.16
5210000 1768.71
5220000 1765.22
5230000 1764.27
5240000 1759.75
5250000 1755.7
5260000 1749.9
5270000 1745.56
5280000 1743.24
5290000 1743.98
5300000 1744.28
5310000 1735.2
5320000 1734.76
5330000 1730.87
5340000 1730.15
5350000 1724.62
5360000 1723.25
5370000 1718.14
5380000 1712.43
5390000 1714.99
5400000 1708.78
5410000 1710.26
5420000 1707.89
5430000 1700.21
5440000 1701.43
5450000 1695.18
5460000 1693.55
5470000 1683.23
5480000 1684.5
5490000 1690.65
5500000 1679.05
5510000 1675.19
5520000 1673.48
5530000 1670.66
5540000 1665.85
5550000 1659.59
5560000 1665.66
5570000 1659.89
5580000 1653.07
5590000 1652.22
5600000 1648.85
5610000 1645.16
5620000 1645.76
5630000 1640.89
5640000 1636.32
5650000 1637.68
5660000 1628.33
5670000 1628.09
5680000 1628.86
5690000 1618.01
5700000 1622.27
5710000 1619.4
5720000 1613
5730000 1612.84
5740000 1612.27
5750000 1602.77
5760000 1604.41
5770000 1598.59
5780000 1593.08
5790000 1591.13
5800000 1594.11
5810000 1585.43
5820000 1583.83
5830000 1583.1
5840000 1579.55
5850000 1575.22
5860000 1570.56
5870000 1569.11
5880000 1568.92
5890000 1565.9
5900000 1558.91
5910000 1560.95
5920000 1554.03
5930000 1550.99
5940000 1546.84
5950000 1546.93
5960000 1543.14
5970000 1541.58
5980000 1535.63
5990000 1536.85
6000000 1530.85
6010000 1530.89
6020000 1525.2
6030000 1519.78
6040000 1522.58
6050000 1514.06
6060000 1507.75
6070000 1510.87
6080000 1504.59
6090000 1502.3
6100000 1497.15
6110000 1496.91
6120000 1494.92
6130000 1492.81
6140000 1488.12
6150000 1480.53
6160000 1480.75
6170000 1477.73
6180000 1473.11
6190000 1472.75
6200000 1472.13
6210000 1467.38
6220000 1465.53
6230000 1465.76
6240000 1457.33
6250000 1455.04
6260000 1448.25
6270000 1451.89
6280000 1444.1
6290000 1444.87
6300000 1441.14
6310000 1432.41
6320000 1434.9
6330000 1429.88
6340000 1427.52
6350000 1424.46
6360000 1424.93
6370000 1422.07
6380000 1416.25
6390000 1412.18
6400000 1413.81
6410000 1410.23
6420000 1402.94
6430000 1401.81
6440000 1401.98
6450000 1395.46
6460000 1392.72
6470000 1388.45
6480000 1389.4
6490000 1383.14
6500000 1380.94
6510000 1379.78
6520000 1373.46
6530000 1373.54
6540000 1366.83
6550000 1364.27
6560000 1360.2
6570000 1356.44
6580000 1358.7
6590000 1351.88
6600000 1348.28
6610000 1353.56
6620000 1341.09
6630000 1342.48
6640000 1335.56
6650000 1334.21
6660000 1330.68
6670000 1335.47
6680000 1326.3
6690000 1320.41
6700000 1324.79
6710000 1319.28
6720000 1313.21
6730000 1310.66
6740000 1304.93
6750000 1309.4
6760000 1306.22
6770000 1296.88
6780000 1295.81
6790000 1295.41
6800000 1289.74
6810000 1290.29
6820000 1285.39
6830000 1282.3
6840000 1278.88
6850000 1275.72
6860000 1272.96
6870000 1271.13
6880000 1263.77
6890000 1263.9
6900000 1259.84
6910000 1257.21
6920000 1255.86
6930000 1249.53
6940000 1254.03
6950000 1244.13
6960000 1243.98
6970000 1239.27
6980000 1239.02
6990000 1232.5
7000000 1230.46
