# Time-averaged data for fix myke1
# TimeStep v_totKe
8020000 12940.9
8030000 12839
8040000 12819.6
8050000 12776.7
8060000 12730.9
8070000 12700
8080000 12639.2
8090000 12592.8
8100000 12566.6
8110000 12534.1
8120000 12489.2
8130000 12438
8140000 12397.9
8150000 12356.9
8160000 12332.2
8170000 12270.5
8180000 12236.2
8190000 12138.3
8200000 12206.5
8210000 12099.9
8220000 12050.1
8230000 12034.4
8240000 11957.4
8250000 11930
8260000 11901.8
8270000 11843.4
8280000 11803.9
8290000 11757.7
8300000 11719.9
8310000 11724.8
8320000 11654.8
8330000 11624.7
8340000 11583.8
8350000 11499.1
8360000 11481.3
8370000 11418.5
8380000 11395.8
8390000 11352.2
8400000 11302.2
8410000 11242.7
8420000 11211.4
8430000 11151.8
8440000 11156.6
8450000 11080
8460000 11045.6
8470000 11041.6
8480000 10976.1
8490000 10945.4
8500000 10960.1
8510000 10832.1
8520000 10845.3
8530000 10784.9
8540000 10723.1
8550000 10678.5
8560000 10642.2
8570000 10595.3
8580000 10570.9
8590000 10537.7
8600000 10461.5
8610000 10438.8
8620000 10396.7
8630000 10330.9
8640000 10305.4
8650000 10264.3
8660000 10223.1
8670000 10163.1
8680000 10158.9
8690000 10097.6
8700000 10048.2
8710000 10037
8720000 9976.06
8730000 9923.3
8740000 9888.93
8750000 9845.05
8760000 9802.78
8770000 9759.69
8780000 9748.82
8790000 9709.3
8800000 9634.84
8810000 9594.31
8820000 9548.14
8830000 9516.27
8840000 9460.33
8850000 9429.12
8860000 9374.04
8870000 9326.95
8880000 9311.99
8890000 9243.38
8900000 9202.7
8910000 9176.04
8920000 9140.08
8930000 9108.9
8940000 9031.99
8950000 8984.81
8960000 8977.22
8970000 8937.97
8980000 8906.71
8990000 8855.06
9000000 8803.7
9010000 8767.97
9020000 8708.71
9030000 8666.09
9040000 8635.05
9050000 8570.61
9060000 8583.23
9070000 8530.42
9080000 8483.12
9090000 8438.47
9100000 8424.52
9110000 8323.82
9120000 8303.91
9130000 8261.69
9140000 8214.83
9150000 8155.69
9160000 8129.35
9170000 8111.08
9180000 8058.96
9190000 8019.49
9200000 7964.13
9210000 7943.19
9220000 7886.88
9230000 7841.54
9240000 7784.48
9250000 7769.54
9260000 7707.02
9270000 7669.02
9280000 7625.42
9290000 7576.14
9300000 7524.17
9310000 7486.92
9320000 7467.89
9330000 7401.46
9340000 7366.82
9350000 7327.42
9360000 7271.38
9370000 7239.15
9380000 7198.69
9390000 7185.73
9400000 7144.48
9410000 7101.68
9420000 7034.61
9430000 6997.86
9440000 6958.3
9450000 6902.53
9460000 6860.61
9470000 6855.03
9480000 6790.63
9490000 6753.09
9500000 6700.24
9510000 6660.68
9520000 6618.03
9530000 6578.47
9540000 6533.51
9550000 6491.9
9560000 6446.01
9570000 6415.14
