# LAMMPS data file written by OVITO Basic 3.11.2

40000 atoms
2 atom types

-0.0322062552 126.8254437654 xlo xhi
-23.7503564017 55.4003563946 ylo yhi
-0.0128563981 158.2885691944 zlo zhi

Atom Type Labels

1 W
2 Mo

Masses

1 183.85  # W
2 95.94  # Mo

Atoms  # atomic

623 1 3.14853 3.30599 9.59121
602 1 1.54273 1.58229 11.0747
404 1 4.71793 1.76424 7.93929
625 1 6.34711 3.20914 9.52214
604 2 4.69898 1.7082 11.1345
406 1 7.94221 1.67901 7.83079
606 2 7.9969 1.70892 10.9593
408 1 11.011 1.693 7.7602
627 1 9.45384 3.32017 9.43957
608 1 11.0636 1.71976 11.0094
410 1 14.1565 1.66434 7.8177
629 2 12.6564 3.23318 9.45554
631 2 15.8499 3.20208 9.44623
610 2 14.2015 1.6763 11.04
611 2 15.9509 0.126675 9.54136
412 1 17.386 1.71888 7.87349
633 1 18.9635 3.24204 9.57642
612 2 17.6155 1.58574 11.1374
615 1 22.2029 0.0276125 9.5186
414 1 20.5574 1.64514 7.8665
635 2 22.2224 3.06759 9.4197
614 1 20.6479 1.60655 11.0414
416 1 23.8137 1.44706 7.8908
616 2 23.868 1.52497 11.1493
418 2 27.0557 1.48441 7.94747
637 2 25.4294 3.09174 9.47697
618 2 27.1032 1.4599 10.9467
420 2 30.1677 1.49279 7.9859
639 2 28.5409 3.11235 9.40421
620 2 30.1577 1.60185 11.1024
1497 2 25.4584 12.6538 22.0744
422 2 1.62602 4.92023 7.9121
643 2 3.19267 6.49573 9.48452
622 1 1.4133 4.74775 11.0625
642 2 1.56317 7.88476 11.12
442 2 1.40821 7.98449 7.9561
1298 1 26.9207 14.1684 20.5155
424 1 4.7302 4.89391 7.9921
645 1 6.32398 6.45006 9.46826
624 1 4.77449 4.8319 11.1453
644 1 4.78503 7.99408 11.138
426 1 7.92676 4.89904 7.8611
646 2 7.99744 7.93754 11.0106
444 1 4.73028 7.98828 7.9036
626 2 7.87875 4.85009 11.0112
428 1 11.0862 4.84306 7.83998
647 1 9.55953 6.32968 9.51178
628 2 11.1015 4.80211 11.0806
648 1 11.1201 7.93733 11.1995
446 1 7.91505 7.99142 7.91072
448 1 11.1792 7.93784 7.91253
430 1 14.2854 4.8915 7.87178
649 2 12.6483 6.3007 9.43353
630 2 14.2819 4.77946 11.0693
651 1 15.7937 6.38481 9.46994
450 1 14.2589 8.07083 7.84681
432 1 17.4306 4.80503 7.98318
653 2 18.9637 6.45801 9.38015
632 1 17.3878 4.8162 11.0282
452 2 17.3846 7.92735 7.85558
655 1 22.2265 6.32549 9.38067
434 2 20.6194 4.75838 7.90921
634 1 20.6437 4.82039 11.0027
654 2 20.5002 7.96406 11.0124
636 1 23.7161 4.71473 11.0175
436 2 23.852 4.64344 7.83315
438 2 27.0164 4.63265 7.8165
657 1 25.3089 6.26534 9.49177
638 2 27.0132 4.62726 11.0564
658 2 26.9989 7.73109 11.0991
1297 1 25.3666 12.656 18.9631
440 1 30.0763 4.65371 7.91078
659 1 28.4458 6.28178 9.43884
640 2 30.2475 4.75677 11.0278
660 1 30.1261 7.9442 10.9687
